"PID","describe","how","why_1","why_2","why_3","why_4","why_5","otherself","antidem","trust","antiest","elect","polparticipation","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","antiest_1","antiest_2","antiest_3","antiest_4R","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","vote_2024","vote_now","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale","n_reasons","any_gov","any_nonsense","frac_systemic","frac_individual","frac_both","frac_none","top_category","feedback"
"IQ592yq","Unfortunately anyone that wants to have civil rights or freedom is being left behind right now. The current administration is alienating just about everyone with its policies. Basic rights and abilities are being stripped simply on a whim.",17,"Rights are being taken away illegally","Oppression of protected freedoms","Lying from the government",NA,NA,5,1.6,1.66666666666667,6.25,1,4.5,1,1,1,1,4,7,6,5,7,1,1,1,4,1,2,5,5,5,4,5,3,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",2,5,2,5,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,53,"man","White","2yearColl","$100,001-$120,000",6,3,1,1,0,1,0,"negative","civil rights; freedom; administration policies",8,"political",1,0,"current administration","The response highlights the administration's policies as causing people to feel left behind in terms of civil rights and freedom.",3,1,0,1,0,0,0,"political",NA
"AS180pr","Those who feel left behind are not being helped by society in securing what I believe are human inalienable rights. These rights include housing, food, clothing, education, healthcare, Internet, smartphones, computers, transportation, to name a few. People need these to survive in today's world, and to deny any of these or to say that these rights need to be earned or bought is sacrilege in my mind. Of course people will feel left behind if you tell them or make it clear that they do not have money so they're deemed worthless or lesser than others who have money.",0,"No housing","No food","No healthcare","No education opportunity","No communication resources(i.e. Internet, smartphone, computer)",4,2.6,2.83333333333333,5,0,1.66666666666667,2,2,2,2,5,5,5,5,5,3,3,3,3,2,3,5,1,1,1,1,1,"I did not vote","Kamala Harris (Democratic Party)",1,7,NA,NA,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,57,"woman","White","2yearColl","$0-$20,000",1,3,1,0,0,1,0,"negative","human rights; inequality; basic needs",8,"social",1,1,"society","The response highlights feelings of being left behind due to societal failure to provide basic needs, implying a social responsibility.",5,1,1,0.8,0,0,0.2,"social",NA
"QB803mz","I think that a person feeling left behind is someone that works really hard but still struggles to get ahead. I feel they would have a job that doesn't pay much and it doesn't cover all their bills. They might fear loosing their job and it be hard to get another one. I think they live somewhere where opportunities are limited and so are the resources they can get. They probably have lots of worries about their family and the future. They are tired, frustrated and feel like no one really listens to them.",50,"low pay or unstable work","limited opportunities","feeling ignored or unheard",NA,NA,3,2,1.5,6.5,1,1,2,1,2,3,2,6,7,6,7,2,1,3,1,1,1,1,1,1,1,1,1,"Donald Trump (Republican Party)","I would not vote",6,2,2,1,2,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,42,"woman","White","GED","$40,001-$60,000",3,2,1,0,1,0,0,"negative","employment; financial struggle; limited opportunities; family concerns",8,"economic",0,1,NA,"The response describes feelings of frustration and fear due to economic struggles and limited opportunities, without naming a specific responsible party.",3,0,0,0.666666666666667,0.333333333333333,0,0,"economic",NA
"SI559oz","They're disgruntled. There a feeling of anger and constantly feel as they're being belittle in life.",45,"Financially behind their peers.","Lack of job promotion.","Socially relationship not as what they had imagined.",NA,NA,4,1,1.33333333333333,6.75,1,1,1,1,1,1,1,6,7,7,7,1,1,1,3,1,1,1,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",4,2,1,3,1,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,37,"man","Asian","4yearColl","$60,001-$80,000",4,4,0,1,0,0,1,"negative","anger; feeling belittled",5,"social",0,1,NA,"The response describes feelings of anger and being belittled, indicating a social sentiment without naming a specific culprit.",3,0,0,0,0.333333333333333,0.666666666666667,0,"economic",NA
"NC854jn","This person is given very few options. They are ignored and minimized. There are people out there are looked down on and also because they do not have much it is hard to break the cycle of dependency and poverty.",50,"access to healthcare","housing issues","cash flow issues",NA,NA,2,2.2,2.16666666666667,4.75,0,2.33333333333333,2,1,2,2,4,6,4,4,5,1,2,1,4,2,3,4,2,1,4,2,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",3,3,1,3,4,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,59,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,1,0,"negative","poverty; dependency; social stigma",8,"social",0,1,NA,"The response highlights feelings of being ignored and minimized, with a focus on social stigma and poverty.",3,0,0,1,0,0,0,"economic",NA
"XE154sb","A person that is not quite educated and has been wronged by the society a lot of times. The person comes from a poor family and a minority because of his/her race or disability. The person may have depression and is struggling with mental health issue. S/he doesn't have a support group and feels alone.",40,"Economically poor","Uneducated","Depressed","Doesn't have a support group","Discriminated",2,1,2.16666666666667,5.75,1,1.66666666666667,1,1,1,1,1,7,6,6,4,1,2,3,3,1,3,3,3,1,1,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",2,2,2,1,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,45,"woman","Asian","4yearColl","Over $200,000",11,4,0,0,0,1,0,"negative","education; social injustice; mental health; minority issues",8,"social",0,1,NA,"The person feels wronged by society and struggles with mental health issues, indicating a subjective experience of being left behind.",5,0,0,0.4,0.6,0,0,"social",NA
"VB292iw","Immigrants are being treated like they're less than human. ICE is out of control and is now funded like a private military. I'd say that's a form of being left behind when your rights aren't acknowledged and you're treated like an enemy.",50,"They're facing persecution.","They're threatened by ICE","Their rights aren't being acknowledged",NA,NA,1,1,2.33333333333333,3.25,0,1.66666666666667,1,1,1,1,1,7,1,1,4,2,2,1,4,2,3,3,1,3,1,1,1,"Kamala Harris (Democratic Party)","Pete Buttigieg",1,4,7,1,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,29,"man","White","2yearColl","$0-$20,000",1,3,1,1,0,1,0,"negative","immigrant rights; ICE; funding",8,"social",1,0,"ICE","The response highlights the mistreatment of immigrants and the excessive funding of ICE, indicating a systemic issue where immigrants' rights are not acknowledged.",3,1,0,1,0,0,0,"social",NA
"UN666gq","Low income individuals that are always working and barely scrapping by.",40,"money","status in work","not enough time","feeling down","feeling different",1,1.8,2.5,5.75,0,2.5,1,2,1,2,3,7,5,6,5,2,2,2,3,3,3,5,3,3,1,2,1,"Donald Trump (Republican Party)","Gavin Newsom (Democratic Party)",1,7,7,1,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,26,"woman","multiracial","GED","$100,001-$120,000",6,2,0,0,0,1,0,"negative","low income; working; financial struggle",8,"economic",0,0,NA,"The statement highlights the financial struggles of low-income individuals who are constantly working but still struggling to make ends meet.",5,0,1,0,0.8,0,0.2,"other",NA
"RY150ge","Minorities, whether by race or sexuality, are being left behind. This includes immigrants.",43,"Racial discrimination","Queer discrimination","Immigrant discrimination",NA,NA,4,1,2.5,6,1,3.16666666666667,1,1,1,1,1,7,6,5,6,2,2,3,4,1,3,5,2,4,4,3,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,5,6,3,7,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,55,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,"negative","minorities; race; sexuality; immigrants",7,"social",0,1,NA,"The response highlights feelings of being left behind among minorities and immigrants without naming a specific responsible party.",3,0,0,1,0,0,0,"social",NA
"AL026ij","Mostly those of low economic circumstances. It is not about race, but, financial security. Will I have a home tomorrow? How about food for my family? Those in power often speak to the needs of those in poverty, however, they seldom make decisions that will address this issue unless they are backed into a corner with threat of political loss. Those left behind often feel unheard, rightly so.",5,"poverty","home security","unheard","less than","what is considered valuable",2,2.4,1.66666666666667,5.25,1,1.83333333333333,4,2,2,2,2,4,5,6,6,2,2,2,1,2,1,4,1,1,2,2,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",7,1,1,2,2,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,65,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,"negative","economic insecurity; political inaction; poverty",8,"economic",1,1,"those in power","The response highlights the feeling of being left behind due to economic insecurity and political inaction, with a focus on those in power not addressing poverty effectively.",5,0,1,0.4,0,0,0.6,"other",NA
"SJ147jm","I would say the main reasons that some might being felt they are left behind. Is they don't have an understanding of what the world really is. They have a negative mind set of the heart that they are telling themselves they lack. They also are not taking any steps to better themselves and ask for Gods help. That is what I think.",50,"lack mindset","lack heart","lack money","lack love","lack period",1,4,1.66666666666667,1.75,1,1.33333333333333,4,4,4,4,4,1,1,1,4,2,2,2,1,2,1,1,1,1,3,1,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",2,3,4,2,2,"No preference",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,53,"man","multiracial","noHS","$20,001-$40,000",2,1,0,1,0,0,0,"negative","mindset; self-improvement; faith",1,"social",0,1,NA,"The response suggests that individuals feel left behind due to their mindset and lack of self-improvement, rather than an objective condition.",5,0,1,0,0.6,0.2,0.2,"other","I like J.D. Vance but who knows if he will run and VP's don't usually make it.  Have a good day"
"GL326ov","Normal low income to middle class people. They can't afford food, can barely afford health or dental care, and honestly can't really afford to live. This currently society is making the rich richer while the rest are mostly suffering.",40,"Inflation","Cuts to welfare","All health related costs going up","Unaffordable housing",NA,5,3.2,1.33333333333333,7,0,1.83333333333333,4,2,3,3,4,7,7,7,7,1,1,1,3,1,1,2,1,5,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,6,5,4,6,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,29,"woman","White","GED","$40,001-$60,000",3,2,1,0,0,1,0,"negative","income inequality; cost of living; healthcare affordability",8,"economic",1,0,"society making the rich richer","The response highlights economic struggles and inequality, indicating that normal people are suffering while the rich benefit.",4,1,0,1,0,0,0,"economic",NA
"QC771vv","Someone who feels they are being left behind are minimum wage workers. People who have to work two jobs just to make ends meet. It is not fair for someone to work that hard and barely be able to survive. Some people can't even afford to live by themselves.",17,"Bad wages","Not enough free time","Expensive bills",NA,NA,3,1,2.16666666666667,6,1,1.33333333333333,1,1,1,1,1,7,7,5,5,2,2,2,3,2,2,3,1,1,1,1,1,"I did not vote","Donald Trump (Republican Party)",6,2,2,3,3,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,26,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,1,0,0,"negative","minimum wage; cost of living; employment",7,"economic",0,1,NA,"The response highlights the struggles of minimum wage workers who feel left behind due to economic hardships and the inability to afford basic living expenses.",3,0,0,0.666666666666667,0.333333333333333,0,0,"economic",NA
"OD665ds","i think conservatives have long been ignored by those in power. we are the backbone of the country. we are the working class, the farmers and the manufacturers. we are the military and the common citizen. we have long been told what to think and how to act by those who claim and exude superiority when all they are is over educated and too opinionated.",79,"woke directives","favoring illegal immigrants","democrat doublespeak.",NA,NA,5,NA,1.33333333333333,5.25,1,1.66666666666667,NA,NA,NA,NA,NA,4,6,6,5,1,1,2,2,1,1,5,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,2,1,"Independent",NA,NA,"Neither","Independent | Neither",1,1,71,"man","White","2yearColl","$60,001-$80,000",4,3,1,1,0,0,1,"negative","political power; working class; elitism",7,"political",1,1,"those in power","The response expresses a feeling of being ignored and dictated to by those in power, highlighting a sense of political marginalization.",3,0,1,0.666666666666667,0,0,0.333333333333333,"social","no comments"
